Age (in months),10th Percentile Stature (in centimeters)
24,80.52476
24.5,80.91946
25.5,81.73541
26.5,82.53699
27.5,83.31968
28.5,84.07998
29.5,84.81532
30.5,85.52398
31.5,86.205
32.5,86.85807
33.5,87.48344
34.5,88.08186
35.5,88.6545
36.5,89.20285
37.5,89.74875
38.5,90.28811
39.5,90.82228
40.5,91.35246
41.5,91.87972
42.5,92.40497
43.5,92.92901
44.5,93.45252
45.5,93.97609
46.5,94.50021
47.5,95.02528
48.5,95.55164
49.5,96.07954
50.5,96.60918
51.5,97.14072
52.5,97.67423
53.5,98.20976
54.5,98.74731
55.5,99.28686
56.5,99.82832
57.5,100.3716
58.5,100.9165
59.5,101.463
60.5,102.0109
61.5,102.5599
62.5,103.1098
63.5,103.6604
64.5,104.2115
65.5,104.7628
66.5,105.3141
67.5,105.865
68.5,106.4154
69.5,106.9648
70.5,107.5131
71.5,108.0599
72.5,108.605
73.5,109.148
74.5,109.6888
75.5,110.227
76.5,110.7623
77.5,111.2944
78.5,111.8232
79.5,112.3483
80.5,112.8696
81.5,113.3867
82.5,113.8995
83.5,114.4077
84.5,114.9112
85.5,115.4097
86.5,115.9031
87.5,116.3913
88.5,116.874
89.5,117.3512
90.5,117.8228
91.5,118.2886
92.5,118.7486
93.5,119.2028
94.5,119.6511
95.5,120.0935
96.5,120.53
97.5,120.9607
98.5,121.3855
99.5,121.8047
100.5,122.2182
101.5,122.6263
102.5,123.0291
103.5,123.4268
104.5,123.8196
105.5,124.2078
106.5,124.5916
107.5,124.9715
108.5,125.3478
109.5,125.7208
110.5,126.0911
111.5,126.4592
112.5,126.8255
113.5,127.1907
114.5,127.5554
115.5,127.9203
116.5,128.2861
117.5,128.6537
118.5,129.0238
119.5,129.3973
120.5,129.7752
121.5,130.1584
122.5,130.5479
123.5,130.9446
124.5,131.3496
125.5,131.7639
126.5,132.1885
127.5,132.6243
128.5,133.0721
129.5,133.5329
130.5,134.0072
131.5,134.4955
132.5,134.9983
133.5,135.5157
134.5,136.0476
135.5,136.5937
136.5,137.1534
137.5,137.7259
138.5,138.31
139.5,138.9043
140.5,139.507
141.5,140.1161
142.5,140.7295
143.5,141.3448
144.5,141.9594
145.5,142.5709
146.5,143.1767
147.5,143.7741
148.5,144.3607
149.5,144.9342
150.5,145.4925
151.5,146.0338
152.5,146.5564
153.5,147.059
154.5,147.5405
155.5,148.0002
156.5,148.4376
157.5,148.8525
158.5,149.2449
159.5,149.615
160.5,149.9633
161.5,150.2902
162.5,150.5966
163.5,150.8831
164.5,151.1507
165.5,151.4003
166.5,151.6329
167.5,151.8494
168.5,152.0508
169.5,152.2381
170.5,152.4121
171.5,152.5738
172.5,152.7241
173.5,152.8638
174.5,152.9936
175.5,153.1143
176.5,153.2266
177.5,153.3312
178.5,153.4286
179.5,153.5193
180.5,153.604
181.5,153.683
182.5,153.7569
183.5,153.826
184.5,153.8907
185.5,153.9513
186.5,154.0082
187.5,154.0616
188.5,154.1119
189.5,154.1592
190.5,154.2037
191.5,154.2457
192.5,154.2854
193.5,154.3229
194.5,154.3584
195.5,154.3919
196.5,154.4238
197.5,154.454
198.5,154.4827
199.5,154.51
200.5,154.5359
201.5,154.5607
202.5,154.5842
203.5,154.6067
204.5,154.6281
205.5,154.6486
206.5,154.6681
207.5,154.6868
208.5,154.7047
209.5,154.7218
210.5,154.7382
211.5,154.754
212.5,154.769
213.5,154.7835
214.5,154.7974
215.5,154.8107
216.5,154.8235
217.5,154.8358
218.5,154.8476
219.5,154.859
220.5,154.8699
221.5,154.8804
222.5,154.8905
223.5,154.9003
224.5,154.9096
225.5,154.9187
226.5,154.9273
227.5,154.9357
228.5,154.9438
229.5,154.9516
230.5,154.959
231.5,154.9663
232.5,154.9732
233.5,154.9799
234.5,154.9864
235.5,154.9926
236.5,154.9986
237.5,155.0044
238.5,155.01
239.5,155.0154
240,155.0181
