Age (in months);10th Percentile Weight (in kilograms)
24;10.57373
24.5;10.64076
25.5;10.77167
26.5;10.89899
27.5;11.02338
28.5;11.14545
29.5;11.26575
30.5;11.38474
31.5;11.50288
32.5;11.62054
33.5;11.73806
34.5;11.85574
35.5;11.97384
36.5;12.09259
37.5;12.21216
38.5;12.33273
39.5;12.45442
40.5;12.57735
41.5;12.70158
42.5;12.8272
43.5;12.95423
44.5;13.08271
45.5;13.21265
46.5;13.34405
47.5;13.47689
48.5;13.61116
49.5;13.74682
50.5;13.88384
51.5;14.02217
52.5;14.16176
53.5;14.30257
54.5;14.44453
55.5;14.5876
56.5;14.73172
57.5;14.87683
58.5;15.02287
59.5;15.16981
60.5;15.31758
61.5;15.46614
62.5;15.61545
63.5;15.76547
64.5;15.91616
65.5;16.06749
66.5;16.21943
67.5;16.37197
68.5;16.52509
69.5;16.67878
70.5;16.83304
71.5;16.98787
72.5;17.14327
73.5;17.29926
74.5;17.45586
75.5;17.61309
76.5;17.77097
77.5;17.92956
78.5;18.08887
79.5;18.24897
80.5;18.40989
81.5;18.5717
82.5;18.73445
83.5;18.89819
84.5;19.063
85.5;19.22895
86.5;19.3961
87.5;19.56453
88.5;19.73432
89.5;19.90554
90.5;20.07828
91.5;20.25261
92.5;20.42863
93.5;20.6064
94.5;20.78601
95.5;20.96755
96.5;21.15111
97.5;21.33675
98.5;21.52456
99.5;21.71462
100.5;21.907
101.5;22.10179
102.5;22.29905
103.5;22.49884
104.5;22.70125
105.5;22.90633
106.5;23.11413
107.5;23.32471
108.5;23.53813
109.5;23.75442
110.5;23.97364
111.5;24.19581
112.5;24.42096
113.5;24.64912
114.5;24.88031
115.5;25.11454
116.5;25.35181
117.5;25.59214
118.5;25.83551
119.5;26.08191
120.5;26.33132
121.5;26.58372
122.5;26.83907
123.5;27.09734
124.5;27.35848
125.5;27.62244
126.5;27.88915
127.5;28.15856
128.5;28.43059
129.5;28.70516
130.5;28.98218
131.5;29.26156
132.5;29.54321
133.5;29.827
134.5;30.11285
135.5;30.40062
136.5;30.69019
137.5;30.98143
138.5;31.27421
139.5;31.56838
140.5;31.86381
141.5;32.16034
142.5;32.45781
143.5;32.75608
144.5;33.05496
145.5;33.3543
146.5;33.65394
147.5;33.95368
148.5;34.25336
149.5;34.55281
150.5;34.85183
151.5;35.15025
152.5;35.44789
153.5;35.74455
154.5;36.04006
155.5;36.33424
156.5;36.62688
157.5;36.91782
158.5;37.20687
159.5;37.49385
160.5;37.77858
161.5;38.06087
162.5;38.34057
163.5;38.61748
164.5;38.89145
165.5;39.16232
166.5;39.42991
167.5;39.69408
168.5;39.95467
169.5;40.21154
170.5;40.46454
171.5;40.71356
172.5;40.95845
173.5;41.19909
174.5;41.43538
175.5;41.66721
176.5;41.89448
177.5;42.1171
178.5;42.33498
179.5;42.54806
180.5;42.75627
181.5;42.95955
182.5;43.15786
183.5;43.35116
184.5;43.53942
185.5;43.72263
186.5;43.90078
187.5;44.07388
188.5;44.24193
189.5;44.40496
190.5;44.563
191.5;44.71609
192.5;44.8643
193.5;45.00768
194.5;45.14631
195.5;45.28027
196.5;45.40964
197.5;45.53455
198.5;45.65509
199.5;45.77138
200.5;45.88355
201.5;45.99174
202.5;46.09608
203.5;46.19672
204.5;46.29382
205.5;46.38753
206.5;46.47801
207.5;46.56543
208.5;46.64995
209.5;46.73174
210.5;46.81097
211.5;46.8878
212.5;46.9624
213.5;47.03493
214.5;47.10554
215.5;47.17437
216.5;47.24158
217.5;47.30728
218.5;47.3716
219.5;47.43464
220.5;47.4965
221.5;47.55724
222.5;47.61693
223.5;47.67559
224.5;47.73323
225.5;47.78983
226.5;47.84535
227.5;47.89972
228.5;47.9528
229.5;48.00447
230.5;48.05453
231.5;48.10274
232.5;48.14882
233.5;48.19244
234.5;48.23321
235.5;48.27069
236.5;48.30438
237.5;48.3337
238.5;48.358
239.5;48.37657
240;48.38346
