Age (in months),Head Circumference (in milimetres)
0,32.9
1,35.1
2,37
3,38.3
4,39.3
5,40.1
6,40.9
7,41.4
8,42
9,42.4
10,42.8
11,43.1
12,43.5
13,43.8
14,44
15,44.2
16,44.4
17,44.7
18,44.9
19,45
20,45.2
21,45.4
22,45.6
23,45.7
24,45.9
25,46
26,46.1
27,46.2
28,46.3
29,46.4
30,46.4
31,46.5
32,46.7
33,46.9
34,47.1
35,47.3
36,47.5
37,47.5
38,47.5
39,47.6
40,47.6
41,47.6
42,47.7
43,47.8
44,47.9
45,48
46,48.1
47,48.2
48,48.3
49,48.3
50,48.3
51,48.4
52,48.4
53,48.5
54,48.5
55,48.6
56,48.6
57,48.7
58,48.7
59,48.8
60,48.9
61,48.9
62,48.9
63,48.9
64,49
65,49
66,49.1
67,49.1
68,49.2
69,49.2
70,49.3
71,49.3
72,49.4
73,49.4
74,49.4
75,49.5
76,49.5
77,49.5
78,49.6
79,49.6
80,49.6
81,49.7
82,49.7
83,49.7
84,49.8
85,49.8
86,49.8
87,49.8
88,49.8
89,49.8
90,49.9
91,49.9
92,49.9
93,49.9
94,49.9
95,49.9
96,50
97,50
98,50
99,50
100,50
101,50
102,50.1
103,50.1
104,50.2
105,50.2
106,50.3
107,50.3
108,50.4
109,50.4
110,50.4
111,50.5
112,50.5
113,50.5
114,50.6
115,50.6
116,50.6
117,50.6
118,50.7
119,50.7
120,50.8
121,50.8
122,50.8
123,50.8
124,50.8
125,50.9
126,50.9
127,50.9
128,50.9
129,51
130,51
131,51
132,51.1
133,51.1
134,51.1
135,51.1
136,51.2
137,51.2
138,51.2
139,51.2
140,51.3
141,51.3
142,51.3
143,51.3
144,51.4
145,51.4
146,51.4
147,51.4
148,51.5
149,51.5
150,51.5
151,51.5
152,51.6
153,51.6
154,51.6
155,51.6
156,51.7
157,51.7
158,51.7
159,51.7
160,51.8
161,51.8
162,51.8
163,51.8
164,51.9
165,51.9
166,51.9
167,51.9
168,52
169,52
170,52
171,52
172,52
173,52
174,52
175,52
176,52
177,52
178,52
179,52
180,52.1
181,52.1
182,52.1
183,52.1
184,52.1
185,52.2
186,52.2
187,52.2
188,52.3
189,52.3
190,52.3
191,52.3
192,52.4
193,52.4
194,52.4
195,52.4
196,52.4
197,52.4
198,52.4
199,52.5
200,52.5
201,52.5
202,52.5
203,52.5
204,52.6
205,52.6
206,52.6
207,52.6
208,52.6
209,52.6
210,52.6
211,52.6
212,52.6
213,52.6
214,52.6
215,52.6
216,52.7
217,52.7
218,52.7
219,52.7
220,52.7
221,52.7
222,52.7
223,52.7
224,52.7
225,52.7
226,52.7
227,52.7
228,52.8
229,52.8
230,52.8
231,52.8
232,52.8
233,52.8
234,52.8
235,52.8
236,52.8
237,52.8
238,52.8
239,52.8
240,52.8
241,52.8
242,52.8
243,52.8
244,52.8
245,52.8
246,52.8
247,52.8
248,52.8
249,52.8
250,52.8
251,52.8
252,52.8
